"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044200[1]";"K044200"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044300[1]";"K044300"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044400[1]";"K044400"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044500[1]";"K044500"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044600[1]";"K044600"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044700[1]";"K044700"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044800[1]";"K044800"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K044900[1]";"K044900"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K058200[1]";"K058200"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K058300[1]";"K058300"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K058400[1]";"K058400"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K058500[1]";"K058500"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Kirchensteuerdaten[1]/K058600[1]";"K058600"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KorrekturKirchensteuerdatenVor2015[1]/KorKiEv[1]";"KorKiEv"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KorrekturKirchensteuerdatenVor2015[1]/KorKiRK[1]";"KorKiRK"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KorrekturKirchensteuerdatenVor2015[1]/KorKuJKOKH[1]";"KorKuJKOKH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KorrekturKirchensteuerdatenVor2015[1]/KorSum[1]";"KorSum"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/GSum[1]";"GSum"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZBB[1]";"ZBB"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZBE[1]";"ZBE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZHB[1]";"ZHB"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZBW[1]";"ZBW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZBY[1]";"ZBY"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZHH[1]";"ZHH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZHE[1]";"ZHE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZMV[1]";"ZMV"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZND[1]";"ZND"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZNW[1]";"ZNW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZRP[1]";"ZRP"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZST[1]";"ZST"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZSH[1]";"ZSH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZSL[1]";"ZSL"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZSN[1]";"ZSN"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZTH[1]";"ZTH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZoZ[1]";"ZoZ"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/Zerlegungsdaten[1]/ZSum[1]";"ZSum"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZBW[1]";"DivZBW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZBY[1]";"DivZBY"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZBE[1]";"DivZBE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZBB[1]";"DivZBB"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZHB[1]";"DivZHB"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZHH[1]";"DivZHH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZHE[1]";"DivZHE"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZMV[1]";"DivZMV"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZND[1]";"DivZND"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZNW[1]";"DivZNW"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZRP[1]";"DivZRP"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZSL[1]";"DivZSL"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZSN[1]";"DivZSN"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZST[1]";"DivZST"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZSH[1]";"DivZSH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZTH[1]";"DivZTH"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStA[1]/KapEStWeiterleitung[1]/DivZSum[1]";"DivZSum"
