"XPATH";"zugehoeriger_Feldname"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/ZwischenAusschuettungBis[1]";"ZwischenAusschuettungBis"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/AusschuettungsDat[1]";"AusschuettungsDat"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/AusschuettungsBeschlDat[1]";"AusschuettungsBeschlDat"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/AntAuszahlungszeitpunkt[1]";"AntAuszahlungszeitpunkt"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/AntTagNachBeschl[1]";"AntTagNachBeschl"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/AntGeschaeftsjahrEnde[1]";"AntGeschaeftsjahrEnde"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/EndeTagGeschaeftsjahr[1]";"EndeTagGeschaeftsjahr"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE151iVm73S1Nr1[1]";"KapE151iVm73S1Nr1"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE151iVm73S1Nr1St[1]";"KapE151iVm73S1Nr1St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE151iVm73S1Nr1Sz[1]";"KapE151iVm73S1Nr1Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs1[1]";"KapE15Abs1"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs1St[1]";"KapE15Abs1St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs1Sz[1]";"KapE15Abs1Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapErst7Abs3S1Nr1[1]";"KapErst7Abs3S1Nr1"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapErst7Abs3S1Nr1St[1]";"KapErst7Abs3S1Nr1St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapErst7Abs3S1Nr1Sz[1]";"KapErst7Abs3S1Nr1Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE8Abs6[1]";"KapE8Abs6"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE8Abs6St[1]";"KapE8Abs6St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE8Abs6Sz[1]";"KapE8Abs6Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs1iVm7[1]";"KapE15Abs1iVm7"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs1iVm7St[1]";"KapE15Abs1iVm7St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs1iVm7Sz[1]";"KapE15Abs1iVm7Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs2[1]";"KapE15Abs2"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs2St[1]";"KapE15Abs2St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapE15Abs2Sz[1]";"KapE15Abs2Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapErst7Abs3S1Nr2[1]";"KapErst7Abs3S1Nr2"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapErst7Abs3S1Nr2St[1]";"KapErst7Abs3S1Nr2St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapErst7Abs3S1Nr2Sz[1]";"KapErst7Abs3S1Nr2Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/StNrVorh[1]";"StNrVorh"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapSumE1[1]";"KapSumE1"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapSumE2[1]";"KapSumE2"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapSumE1St[1]";"KapSumE1St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapSumE2St[1]";"KapSumE2St"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapSumE1Sz[1]";"KapSumE1Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapSumE2Sz[1]";"KapSumE2Sz"
"/Elster[1]/DatenTeil[1]/Nutzdatenblock[1]/Nutzdaten[1]/KapEStInvStG[1]/KapSumEStSz[1]";"KapSumEStSz"
